id	region_id	timestamp	type	participants	vehicles	victims	fatalities	city	street	house	road	km	m	places	problems	reasons
199909008	80512	2016-09-30 09:00:00	Столкновение	2	2	1	0	г Волгоград	пр-кт им Героев Сталинграда	50				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Нарушение правил перестроения
200081143	80512	2016-09-30 20:10:00	Столкновение	4	3	1	0	г Волгоград	ул Рабоче-Крестьянская	61				Перегон (нет объектов на месте ДТП)		Водитель: Неправильный выбор дистанции
200063864	80512	2016-09-30 16:30:00	Наезд на пешехода	2	1	1	0	г Волгоград	ул 40 лет ВЛКСМ	24				Регулируемый пешеходный переход	Отсутствие, плохая различимость горизонтальной разметки проезжей части; Отсутствие пешеходных ограждений в необходимых местах	Водитель: Нарушение правил проезда пешеходного перехода
199877262	80512	2016-09-29 17:15:00	Столкновение	3	3	1	1	г Волгоград	ул им Плеханова	73				Перегон (нет объектов на месте ДТП)		Водитель: Неправильный выбор дистанции
199876626	80512	2016-09-29 08:30:00	Столкновение	2	2	1	0	г Волгоград	ул Рабоче-Крестьянская	15				Регулируемый перекресток		Водитель: Несоблюдение очередности проезда
199876768	80512	2016-09-29 09:00:00	Наезд на пешехода	3	1	2	0	г Волгоград	ул им Кирова	138				Иное место		Пешеход: Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода
199887776	80512	2016-09-28 09:30:00	Падение пассажира	2	1	1	0	г Волгоград	ул Верхоянская	53				Перегон (нет объектов на месте ДТП)	Дефекты покрытия; Отсутствие, плохая различимость горизонтальной разметки проезжей части	Водитель: Другие нарушения ПДД водителем; Пассажир: Иные нарушения
199728605	80512	2016-09-27 12:55:00	Столкновение	3	3	1	1	г Волгоград				0	0	Мост, эстакада, путепровод		Водитель: Другие нарушения ПДД водителем
199887674	80512	2016-09-27 22:30:00	Опрокидывание	1	1	1	0	г Волгоград	ш Авиаторов	121				Перегон (нет объектов на месте ДТП)	Отсутствие, плохая различимость горизонтальной разметки проезжей части; Отсутствие дорожных знаков в необходимых местах; Отсутствие пешеходных ограждений в необходимых местах; Отсутствие освещения	Водитель: Другие нарушения ПДД водителем
199764862	80512	2016-09-27 09:00:00	Наезд на пешехода	2	1	1	0	г Волгоград	ул Елецкая	1				Перегон (нет объектов на месте ДТП)	Неправильное применение, плохая видимость дорожных знаков	Пешеход: Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода
